scenarioName,scenarioLoop,stepName,stepLoop,correlationId,requestTimeStamp,responseDelayMilliSec,responseTimeStamp,result,method
"de.ssherlock.system_tests.ui.facelets.CourseUserPaginationUITest",0,testCheckCorrectContent,0,"4b88ab55-c240-4080-8537-447c007b157e","2024-01-25T19:24:12.491244",15.0,"2024-01-25T19:24:12.506270",PASSED,
"de.ssherlock.system_tests.ui.facelets.CourseUserPaginationUITest",0,testNextButton,0,"6c2ccbf3-832d-4440-828d-7aeda6394dc9","2024-01-25T19:24:12.497630",9.0,"2024-01-25T19:24:12.507418",PASSED,
"de.ssherlock.system_tests.ui.facelets.CourseUserPaginationUITest",0,testCheckSearch,0,"ca9b8aed-5487-459f-9444-abce0b69de45","2024-01-25T19:24:12.711915",3.0,"2024-01-25T19:24:12.715225",PASSED,
"de.ssherlock.system_tests.ui.facelets.ExerciseDescriptionUITest",0,testEditHTMLFailure,0,"31f2ea9a-9a3f-4c75-b9b8-a351bb822cb4","2024-01-25T19:24:12.493254",18.0,"2024-01-25T19:24:12.512230",PASSED,
"de.ssherlock.system_tests.ui.facelets.CheckerListUITest",0,"testCheckContentPagination",0,"be10fbe5-f357-463c-b0f4-932efa7391b6","2024-01-25T19:24:12.708852",10.0,"2024-01-25T19:24:12.719699",PASSED,
"de.ssherlock.system_tests.ui.facelets.TestateUITest",0,testGradeValidators,0,"7997570c-b891-4a30-82b5-7039ec0c6fec","2024-01-25T19:24:12.845674",1.0,"2024-01-25T19:24:12.847260",PASSED,
"de.ssherlock.system_tests.ui.facelets.LoginUITest",0,testLoginSuccess,0,"82ce8e56-62d0-4f68-aa64-0d302fa10717","2024-01-25T19:24:12.724579",2.0,"2024-01-25T19:24:12.726728",PASSED,
"de.ssherlock.system_tests.ui.facelets.FooterUITest",0,testFooter,0,"710e636f-c893-4df2-95d5-ddbce96cd323","2024-01-25T19:24:13.097753",0.0,"2024-01-25T19:24:13.098188",PASSED,
"de.ssherlock.system_tests.ui.facelets.ExerciseDescriptionUITest",0,testUploadImageSuccess,0,"c20c2e99-872a-4f06-a195-344de0f939bd","2024-01-25T19:24:12.491237",14.0,"2024-01-25T19:24:12.505732",PASSED,
"de.ssherlock.system_tests.ui.facelets.NavbarUITest",0,navigateToAllCourses,0,"ceebe5e9-3969-45ae-97d3-1fc9a3b44eaf","2024-01-25T19:24:12.492695",13.0,"2024-01-25T19:24:12.505732",PASSED,
"de.ssherlock.system_tests.ui.facelets.NavbarUITest",0,navigateToProfile,0,"b45d4acc-f97d-4eca-a9a2-d98a4e5fd71b","2024-01-25T19:24:13.151388",1.0,"2024-01-25T19:24:13.152692",PASSED,
"de.ssherlock.system_tests.ui.facelets.NavbarUITest",0,navigateToAllCourses,0,"3b189682-9384-43fb-bd17-7e0c51d03df4","2024-01-25T19:24:12.970115",0.0,"2024-01-25T19:24:12.970824",PASSED,
"de.ssherlock.system_tests.ui.facelets.NavbarUITest",0,navigateToAdmin,0,"33e1b3ca-6e74-4201-8810-eaead2e39ec0","2024-01-25T19:24:12.703318",11.0,"2024-01-25T19:24:12.714910",PASSED,
"de.ssherlock.system_tests.ui.facelets.PasswordResetUITest",0,testResetPassword,0,"8efd2fdd-5598-4748-94b1-5d0e24d60805","2024-01-25T19:24:12.928783",1.0,"2024-01-25T19:24:12.930038",PASSED,
"de.ssherlock.system_tests.ui.facelets.NavbarUITest",0,logout,0,"55c9c181-1580-4e77-b227-2bb8b4097914","2024-01-25T19:24:12.491696",14.0,"2024-01-25T19:24:12.506436",PASSED,
"de.ssherlock.system_tests.ui.facelets.TestateUITest",0,testCommentValidators,0,"825d9e6c-2c2d-4508-a8c5-efd6ce73f063","2024-01-25T19:24:13.079850",0.0,"2024-01-25T19:24:13.080610",PASSED,
"de.ssherlock.system_tests.ui.facelets.AdminUserPaginationUITest",0,testChangeFaculty,0,"93d14375-e316-4255-a795-6cfeabee8df1","2024-01-25T19:24:12.942539",0.0,"2024-01-25T19:24:12.943183",PASSED,
"de.ssherlock.system_tests.ui.facelets.ExerciseDescriptionUITest",0,testEditHTMLSuccess,0,"64048fb4-bbfb-46dc-8e27-c43541cd3775","2024-01-25T19:24:13.096166",2.0,"2024-01-25T19:24:13.098935",PASSED,
